date,open,close
2007-01-03,38.68,38.7
2007-01-04,38.59,38.9
2007-01-05,38.72,38.37
2007-01-08,38.22,37.5
2007-01-09,37.6,37.78
2007-01-10,37.49,37.15
2007-01-11,37.17,37.4
2007-01-12,37.36,38.2
2007-01-16,38.4,38.66
2007-01-17,38.7,37.88
2007-01-18,37.5,36.98
2007-01-19,36.69,37.02
2007-01-22,37.65,36.95
2007-01-23,36.9,36.43
2007-01-24,36.51,37.26
2007-01-25,38.08,37.08
2007-01-26,37.26,36.85
2007-01-29,36.7,37.43
2007-01-30,37.29,37.05
2007-01-31,36.95,37.67
2007-02-01,37.95,38.7
2007-02-02,37.23,37.39
2007-02-05,37.25,37.16
2007-02-06,37.2,38.27
2007-02-07,38.49,38.98
2007-02-08,38.95,39.1
2007-02-09,39.19,38.72
2007-02-12,38.79,38.85
2007-02-13,38.85,39.31
2007-02-14,39.23,40.14
2007-02-15,40.14,40.06
2007-02-16,39.9,40.33
2007-02-20,40.13,41.51
2007-02-21,41.19,41.26
2007-02-22,41.4,41.0
2007-02-23,41.0,40.78
2007-02-26,40.86,40.8799
2007-02-27,40.19,38.83
2007-02-28,38.91,39.14
2007-03-01,39.32,38.85
2007-03-02,38.32,37.69
2007-03-05,37.15,37.05
2007-03-06,37.69,38.58
2007-03-07,38.68,38.36
2007-03-08,38.77,38.1
2007-03-09,38.48,38.84
2007-03-12,38.64,38.81
2007-03-13,38.3,37.82
2007-03-14,37.76,38.08
2007-03-15,38.1,37.78
2007-03-16,37.72,37.85
2007-03-19,38.0,38.45
2007-03-20,38.53,38.58
2007-03-21,38.55,39.8
2007-03-22,39.48,39.49
2007-03-23,39.56,38.98
2007-03-26,38.98,39.01
2007-03-27,38.82,39.37
2007-03-28,39.09,39.34
2007-03-29,39.65,39.81
2007-03-30,39.75,39.79
2007-04-02,39.85,40.42
2007-04-03,40.42,41.19
2007-04-04,41.22,41.53
2007-04-05,41.57,41.68
2007-04-09,41.72,41.66
2007-04-10,41.57,41.86
2007-04-11,41.73,41.68
2007-04-12,41.73,42.27
2007-04-13,42.19,42.41
2007-04-16,43.77,45.2
2007-04-17,45.28,45.07
2007-04-18,44.8,44.99
2007-04-19,44.61,44.64
